account_id,is_employee,last_modified_date,last_access_date,reputation_change_year,reputation_change_quarter,reputation_change_month,reputation_change_week,reputation_change_day,reputation,creation_date,user_type,user_id,accept_rate,location,website_url,link,profile_image,display_name,badge_counts_bronze,badge_counts_silver,badge_counts_gold,country,insert_date
14603871,False,1653318300.0,1654158749,89,40,0,0,0,182,1540310464,registered,10547390,,"Breda, Nederland",,https://stackoverflow.com/users/10547390/karel-van-dongen,https://lh6.googleusercontent.com/-PNxU5pmN3Ds/AAAAAAAAAAI/AAAAAAAAMXg/u5rV3OVuilA/photo.jpg?sz=256,karel van dongen,7,0,0,Unknown,2022-05-26
4343617,False,1651601784.0,1654115738,-2,-2,0,0,0,173,1397754693,registered,3546240,85.0,New York City,,https://stackoverflow.com/users/3546240/sina,https://graph.facebook.com/1564402586/picture?type=large,Sina,13,0,0,Unknown,2022-05-26
17219185,False,1630358738.0,1653899031,106,106,0,25,0,167,1575261151,registered,12466366,,Unknown,,https://stackoverflow.com/users/12466366/2293980990,https://www.gravatar.com/avatar/4da40456d33aba44a8bcafe769b90d87?s=256&d=identicon&r=PG&f=1,2293980990,10,1,0,Unknown,2022-05-26
16915075,False,1647570300.0,1653950710,162,162,0,-2,0,163,1647569718,registered,18499643,,Unknown,,https://stackoverflow.com/users/18499643/joe-tha,https://lh3.googleusercontent.com/a/AATXAJwgrAt2WPX1Yh7wmQIC5IU-8iOXztoNZ3SWMgCh=k-s256,Joe Tha,9,0,0,Unknown,2022-05-26
25073483,False,1654117802.0,1654158147,150,150,10,65,0,151,1650786690,registered,18927125,,Germany,,https://stackoverflow.com/users/18927125/nohman,https://www.gravatar.com/avatar/d0cfcb45f74b959a514c2e44a2d84547?s=256&d=identicon&r=PG,Nohman,7,0,0,Germany,2022-05-26
18289091,False,1651985112.0,1653559581,18,18,0,0,0,134,1586908494,registered,13316297,,Unknown,,https://stackoverflow.com/users/13316297/vikhyat,https://i.stack.imgur.com/65mgG.jpg?s=256&g=1,Vikhyat,3,0,0,Unknown,2022-05-26
9995936,False,1573678770.0,1654073479,36,18,0,0,0,91,1485469995,registered,7476269,20.0,Unknown,,https://stackoverflow.com/users/7476269/ayush-goyal,https://www.gravatar.com/avatar/f6ed528f023f7e7607b1e57736692125?s=256&d=identicon&r=PG&f=1,Ayush Goyal,9,1,0,Unknown,2022-05-26
11085056,False,1654107301.0,1654115690,26,16,2,2,0,86,1552446645,registered,11194619,,Unknown,,https://stackoverflow.com/users/11194619/owen,https://www.gravatar.com/avatar/9d927dac8a196d7689336f4c41bad361?s=256&d=identicon&r=PG&f=1,owen,6,0,0,Unknown,2022-05-26
1772413,False,1653491400.0,1654166059,73,63,0,15,0,84,1345638250,registered,1616945,,"Bengaluru, India",,https://stackoverflow.com/users/1616945/smaurya,https://www.gravatar.com/avatar/9d41fda0ae36e46e58e9a0f29e3c784f?s=256&d=identicon&r=PG,Smaurya,6,0,0,India,2022-05-26
23772765,False,1643936400.0,1654157503,60,60,0,0,0,73,1640760496,registered,17786602,,Unknown,,https://stackoverflow.com/users/17786602/user17786602,https://www.gravatar.com/avatar/0faa9d56cf561e56aafcd1fa380c8ded?s=256&d=identicon&r=PG,user17786602,6,0,0,Unknown,2022-05-26
